Placing,Faction,Tournament Points,Oppt. Game Win %,Victory Points
1,Goremongers,12,56.25,63
2,Plague Marines,12,54,67
3,Chaos Cult,12,50,63
4,Sanctifiers,12,41.5833,70
5,Sanctifiers,9,68.75,68
6,Angels of Death,9,68.75,65
7,Ratlings,9,64.5833,53
8,Chaos Cult,9,58.25,66
9,Wrecka Krew,9,58.25,61
10,Scout Squad,9,52,70
11,Corsair Voidscarred,9,52,54
12,Blades of Khaine,9,49.9167,56
13,Hand of the Archon,9,47.8333,59
14,Wrecka Krew,9,47.75,61
15,Plague Marines,7,54.0833,50
16,Ratlings,7,43.5833,56
17,Blades of Khaine,6,81.25,61
18,Legionary,6,66.5,45
19,Goremongers,6,64.5833,56
20,Mandrakes,6,64.5,59
21,Novitiates,6,62.4167,55
22,Void-Dancer Troupe,6,60.25,62
23,Wrecka Krew,6,60.25,51
24,Angels of Death,6,58.25,52
25,Legionary,6,54.0833,46
26,Void-Dancer Troupe,6,54,53
27,Hand of the Archon,6,54,50
28,Phobos Strike Team,6,52.7778,37
29,Wrecka Krew,6,52,42
30,Plague Marines,6,47.75,52
31,Legionary,6,47.75,47
32,Warp Coven,6,47.75,41
33,Nemesis Claw,6,43.5,47
34,Legionary,4,60.3333,42
35,Plague Marines,4,44.3333,42
36,Legionary,3,62.5,41
37,Legionary,3,61,45
38,Angels of Death,3,54.0833,51
39,Hernkyn Yaegir,3,52,54
40,Hearthkyn Salvagers,3,50,33
41,Mandrakes,3,47.8333,52
42,Plague Marines,3,47.75,41
43,Wrecka Krew,3,47.75,34
44,Hearthkyn Salvagers,3,45.8333,41
45,Exaction Squad,3,45.75,45
46,Hearthkyn Salvagers,0,75,9
47,Phobos Strike Team,0,58.25,32
48,Farstalker Kinband,0,52,39
49,Kommandos,0,49.9167,49
